Traveller type,Reference period,United States of America residents entering Canada,"United States of America residents, air","United States of America residents, land","United States of America residents, water",Canadian residents returning from the United States of America,"Canadian residents returning from the United States of America, air","Canadian residents returning from the United States of America, land","Canadian residents returning from the United States of America, water"
Tourists,2003-10,"1,031,166","283,262","711,287","36,617","1,001,651","338,686","659,507","3,458"
Tourists,2003-11,"717,638","220,944","496,429",265,"897,733","360,257","537,164",312
Tourists,2003-12,"875,526","275,483","599,814",229,"808,233","340,668","467,431",134
Tourists,2004-01,"592,764","185,630","406,983",151,"860,017","399,160","460,657",200
Tourists,2004-02,"711,206","207,890","503,094",222,"885,837","440,113","445,523",201
Tourists,2004-03,"759,710","255,082","504,305",323,"1,303,397","524,633","778,469",295
Tourists,2004-04,"895,691","259,575","633,806","2,310","1,225,538","450,699","773,787","1,052"
Tourists,2004-05,"1,214,201","305,652","868,237","40,312","1,201,765","389,296","787,815","24,654"
Tourists,2004-06,"1,741,534","437,394","1,207,567","96,573","988,599","287,612","685,677","15,310"
Tourists,2004-07,"2,625,523","538,077","1,933,892","153,554","1,551,277","305,701","1,216,973","28,603"
Tourists,2004-08,"2,384,515","533,600","1,704,532","146,383","1,712,838","297,293","1,387,538","28,007"
Tourists,2004-09,"1,506,938","360,435","1,024,303","122,200","1,140,020","303,993","803,438","32,589"
Tourists,2004-10,"1,049,461","310,467","702,903","36,091","1,111,200","388,194","719,493","3,513"
Tourists,2004-11,"722,984","248,808","473,913",263,"976,886","401,525","575,046",315
Tourists,2004-12,"882,981","289,183","593,583",215,"899,143","395,172","503,799",172
Tourists,2005-01,"585,330","213,710","371,328",292,"974,478","477,801","496,504",173
Tourists,2005-02,"725,730","237,651","487,833",246,"922,449","466,579","455,620",250
Tourists,2005-03,"789,600","258,478","530,777",345,"1,485,931","586,264","899,231",436
Tourists,2005-04,"810,954","248,498","561,067","1,389","1,249,696","506,982","741,798",916
Tourists,2005-05,"1,161,796","308,406","808,249","45,141","1,306,484","445,289","834,584","26,611"
Tourists,2005-06,"1,750,683","469,390","1,191,753","89,540","1,061,147","321,227","725,000","14,920"
Tourists,2005-07,"2,514,513","527,730","1,830,947","155,836","1,731,528","341,139","1,358,822","31,567"
Tourists,2005-08,"2,167,280","462,024","1,569,072","136,184","1,856,433","375,911","1,453,286","27,236"
Tourists,2005-09,"1,418,618","370,556","926,034","122,028","1,214,438","351,024","840,253","23,161"
Tourists,2005-10,"939,982","302,024","609,032","28,926","1,138,687","421,013","714,324","3,350"
Tourists,2005-11,"689,243","241,173","447,867",203,"1,028,686","431,134","597,222",330
Tourists,2005-12,"836,967","275,726","561,034",207,"892,139","395,609","496,347",183
Tourists,2006-01,"555,207","197,728","357,363",116,"1,082,404","519,321","562,886",197
Tourists,2006-02,"632,462","208,719","423,614",129,"952,563","498,600","453,788",175
Tourists,2006-03,"722,212","247,667","474,333",212,"1,494,858","635,505","859,025",328
Tourists,2006-04,"831,343","258,109","570,890","2,344","1,442,734","542,168","898,528","2,038"
Tourists,2006-05,"1,149,851","340,534","753,780","55,537","1,338,805","457,025","857,337","24,443"
Tourists,2006-06,"1,725,335","476,605","1,141,685","107,045","1,106,545","342,812","746,954","16,779"
Tourists,2006-07,"2,294,960","503,151","1,636,532","155,277","1,863,065","365,039","1,467,771","30,255"
Tourists,2006-08,"2,111,749","470,084","1,497,881","143,784","2,003,643","410,177","1,564,876","28,590"
Tourists,2006-09,"1,373,629","364,181","891,797","117,651","1,316,822","382,177","908,794","25,851"
Tourists,2006-10,"923,904","295,218","583,249","45,437","1,242,003","451,454","786,492","4,057"
Tourists,2006-11,"681,900","237,562","444,181",157,"1,142,238","471,968","670,042",228
Tourists,2006-12,"852,916","281,639","571,092",185,"1,006,562","444,774","561,667",121
Tourists,2007-01,"527,840","196,856","330,906",78,"1,161,856","562,576","599,134",146
Tourists,2007-02,"587,750","205,627","382,019",104,"969,334","513,612","455,555",167
Tourists,2007-03,"673,767","238,175","435,399",193,"1,566,307","655,019","911,048",240
Tourists,2007-04,"732,196","236,787","492,211","3,198","1,490,214","569,321","919,383","1,510"
Tourists,2007-05,"1,132,105","333,565","730,986","67,554","1,400,548","485,339","885,688","29,521"
Tourists,2007-06,"1,727,487","460,084","1,139,816","127,587","1,202,027","361,072","818,840","22,115"
Tourists,2007-07,"2,127,742","489,639","1,488,857","149,246","1,983,830","388,715","1,561,898","33,217"
Tourists,2007-08,"2,142,290","469,365","1,522,488","150,437","2,263,414","447,060","1,782,132","34,222"
Tourists,2007-09,"1,332,687","356,631","840,043","136,013","1,554,529","413,940","1,105,457","35,132"
Tourists,2007-10,"941,148","298,981","587,224","54,943","1,469,376","485,490","976,403","7,483"
Tourists,2007-11,"675,532","229,260","445,997",275,"1,483,068","517,843","964,889",336
Tourists,2007-12,"774,657","265,951","508,481",225,"1,215,068","482,853","732,041",174
Tourists,2008-01,"502,746","185,280","317,391",75,"1,312,317","613,536","698,614",167
Tourists,2008-02,"572,207","197,549","374,562",96,"1,200,705","612,227","588,235",243
Tourists,2008-03,"652,129","229,203","422,701",225,"1,980,646","743,475","1,236,666",505
Tourists,2008-04,"685,972","242,766","435,841","7,365","1,584,374","650,330","930,642","3,402"
Tourists,2008-05,"1,100,707","316,987","716,169","67,551","1,615,931","541,685","1,044,560","29,686"
Tourists,2008-06,"1,517,447","429,780","990,033","97,634","1,383,202","399,541","962,741","20,920"
Tourists,2008-07,"2,027,087","476,052","1,400,267","150,768","2,025,636","429,277","1,563,062","33,297"
Tourists,2008-08,"2,057,421","435,750","1,460,237","161,434","2,564,386","478,010","2,044,932","41,444"
Tourists,2008-09,"1,138,513","320,143","662,645","155,725","1,477,271","405,401","1,034,385","37,485"
Tourists,2008-10,"874,190","275,654","556,620","41,916","1,390,646","482,721","904,047","3,878"
Tourists,2008-11,"624,941","212,754","412,049",138,"1,300,429","509,838","790,217",374
Tourists,2008-12,"750,520","268,695","481,736",89,"1,074,667","481,779","592,770",118
Tourists,2009-01,"485,387","172,516","312,804",67,"1,148,003","563,250","584,634",119
Tourists,2009-02,"532,032","179,756","352,146",130,"1,095,938","555,823","539,909",206
Tourists,2009-03,"577,361","197,503","379,691",167,"1,718,287","678,957","1,039,051",279
Tourists,2009-04,"717,462","213,929","501,368","2,165","1,572,227","600,634","970,341","1,252"
Tourists,2009-05,"1,059,865","267,608","723,311","68,946","1,521,247","479,398","1,006,796","35,053"
Tourists,2009-06,"1,357,252","377,849","867,148","112,255","1,198,657","355,211","818,128","25,318"
Tourists,2009-07,"1,919,399","453,549","1,322,693","143,157","1,859,121","395,438","1,426,656","37,027"
Tourists,2009-08,"1,769,528","393,749","1,228,528","147,251","2,420,516","497,222","1,880,046","43,248"
Tourists,2009-09,"1,174,942","314,625","718,670","141,647","1,519,049","421,781","1,058,323","38,945"
Tourists,2009-10,"814,524","254,872","514,531","45,121","1,379,511","504,411","870,566","4,534"
Tourists,2009-11,"552,310","200,067","350,360","1,883","1,366,818","524,056","842,288",474
Tourists,2009-12,"707,171","253,661","453,324",186,"1,174,100","522,111","651,812",177
Tourists,2010-01,"453,589","167,074","286,423",92,"1,317,763","631,860","685,774",129
Tourists,2010-02,"543,264","189,106","353,949",209,"1,197,624","604,099","593,269",256
Tourists,2010-03,"587,924","218,197","369,541",186,"1,866,537","745,843","1,120,368",326
Tourists,2010-04,"689,321","225,643","460,069","3,609","1,788,566","694,743","1,091,888","1,935"
Tourists,2010-05,"978,955","273,232","643,986","61,737","1,791,187","593,098","1,173,686","24,403"
Tourists,2010-06,"1,428,135","412,789","897,805","117,541","1,364,219","440,953","906,978","16,288"
Tourists,2010-07,"2,032,056","461,080","1,428,322","142,654","2,183,318","473,246","1,676,764","33,308"
Tourists,2010-08,"1,767,173","413,470","1,218,648","135,055","2,643,662","533,275","2,072,952","37,435"
Tourists,2010-09,"1,201,021","330,444","735,848","134,729","1,648,777","478,043","1,137,099","33,635"
Tourists,2010-10,"863,664","287,287","525,832","50,545","1,564,664","567,449","990,970","6,245"
Tourists,2010-11,"599,225","229,515","369,533",177,"1,523,335","582,354","940,575",406
Tourists,2010-12,"726,517","257,274","469,114",129,"1,285,965","565,070","720,740",155
Tourists,2011-01,"460,959","181,821","279,050",88,"1,397,167","677,145","719,722",300
Tourists,2011-02,"496,812","177,090","319,623",99,"1,277,920","642,737","634,942",241
Tourists,2011-03,"568,409","225,670","342,628",111,"1,961,104","824,828","1,136,054",222
Tourists,2011-04,"694,587","225,410","466,789","2,388","1,948,784","764,494","1,182,514","1,776"
Tourists,2011-05,"970,321","307,428","604,854","58,039","1,865,709","631,495","1,206,334","27,880"
Tourists,2011-06,"1,460,382","431,982","899,654","128,746","1,452,389","477,690","957,125","17,574"
Tourists,2011-07,"1,945,869","451,688","1,368,811","125,370","2,375,902","537,413","1,800,309","38,180"
Tourists,2011-08,"1,673,769","396,753","1,154,623","122,393","2,779,960","602,222","2,140,151","37,587"
Tourists,2011-09,"1,180,189","331,905","735,259","113,025","1,775,065","531,546","1,215,020","28,499"
Tourists,2011-10,"824,728","267,950","508,264","48,514","1,621,699","593,528","1,022,656","5,515"
Tourists,2011-11,"582,835","215,137","367,599",99,"1,552,405","606,298","945,811",296
Tourists,2011-12,"738,083","240,077","497,823",183,"1,328,657","582,507","746,015",135
Tourists,2012-01,"462,324","182,378","279,765",181,"1,526,486","727,967","798,352",167
Tourists,2012-02,"535,229","193,390","341,766",73,"1,388,476","707,515","680,673",288
Tourists,2012-03,"603,332","225,366","377,843",123,"2,084,173","869,034","1,214,717",422
Tourists,2012-04,"715,863","243,085","470,438","2,340","2,011,755","779,547","1,230,153","2,055"
Tourists,2012-05,"995,656","306,729","637,274","51,653","1,814,170","616,810","1,162,920","34,440"
Tourists,2012-06,"1,532,513","433,158","972,063","127,292","1,582,659","485,058","1,073,769","23,832"
Tourists,2012-07,"1,844,177","459,896","1,275,904","108,377","2,524,311","532,473","1,953,077","38,761"
Tourists,2012-08,"1,853,382","438,172","1,306,657","108,553","2,944,883","603,596","2,301,900","39,387"
Tourists,2012-09,"1,159,873","341,397","705,324","113,152","1,942,212","527,193","1,380,134","34,885"
Tourists,2012-10,"829,492","288,888","493,091","47,513","1,720,814","609,815","1,103,245","7,754"
Tourists,2012-11,"596,760","214,033","382,623",104,"1,649,867","618,667","1,030,854",346
Tourists,2012-12,"758,349","269,122","489,151",76,"1,507,539","613,745","893,605",189
Tourists,2013-01,"455,779","162,315","293,409",55,"1,578,899","740,666","838,128",105
Tourists,2013-02,"503,691","165,905","337,706",80,"1,490,862","723,981","766,686",195
Tourists,2013-03,"638,471","203,516","434,778",177,"2,318,442","904,055","1,413,859",528
Tourists,2013-04,"604,036","197,619","404,661","1,756","2,021,386","826,327","1,193,209","1,850"
Tourists,2013-05,"965,805","268,593","648,478","48,734","1,947,543","655,019","1,263,717","28,807"
Tourists,2013-06,"1,424,678","378,705","941,958","104,015","1,682,737","510,805","1,146,883","25,049"
Tourists,2013-07,"1,833,072","433,525","1,274,069","125,478","2,463,891","559,986","1,863,415","40,490"
Tourists,2013-08,"1,882,060","404,830","1,347,958","129,272","3,016,027","637,004","2,331,955","47,068"
Tourists,2013-09,"1,066,708","314,003","646,444","106,261","1,915,969","555,908","1,320,393","39,668"
Tourists,2013-10,"807,908","257,940","508,090","41,878","1,739,569","631,032","1,103,551","4,986"
Tourists,2013-11,"585,462","194,709","390,652",101,"1,634,494","660,482","973,702",310
Tourists,2013-12,"709,954","239,182","470,548",224,"1,597,174","651,828","945,175",171
Tourists,2014-01,"450,103","161,568","288,484",51,"1,585,081","755,851","829,052",178
Tourists,2014-02,"483,157","165,605","317,503",49,"1,470,587","764,280","706,150",157
Tourists,2014-03,"553,030","202,916","349,977",137,"2,201,883","934,500","1,267,088",295
Tourists,2014-04,"662,708","209,928","451,251","1,529","2,050,595","812,533","1,236,514","1,548"
Tourists,2014-05,"992,697","293,771","646,828","52,098","1,948,623","693,681","1,223,226","31,716"
Tourists,2014-06,"1,402,535","409,699","903,517","89,319","1,726,288","529,323","1,173,522","23,443"
Tourists,2014-07,"1,840,827","468,524","1,262,190","110,113","2,334,314","553,605","1,745,305","35,404"
Tourists,2014-08,"1,889,787","423,053","1,344,151","122,583","3,025,538","647,698","2,333,119","44,721"
Tourists,2014-09,"1,074,367","330,791","629,192","114,384","1,804,573","562,370","1,206,040","36,163"
Tourists,2014-10,"863,729","283,295","531,507","48,927","1,709,192","649,744","1,050,336","9,112"
Tourists,2014-11,"564,599","208,380","356,081",138,"1,661,606","675,225","985,107","1,274"
Tourists,2014-12,"745,642","259,294","486,204",144,"1,495,411","664,476","830,810",125
Tourists,2015-01,"477,371","173,342","303,974",55,"1,566,951","796,276","770,509",166
Tourists,2015-02,"508,802","177,937","330,776",89,"1,419,546","773,673","645,616",257
Tourists,2015-03,"594,209","216,624","376,397","1,188","2,077,148","925,059","1,150,205","1,884"
Tourists,2015-04,"721,645","246,880","472,736","2,029","1,921,658","828,793","1,085,518","7,347"
Tourists,2015-05,"1,096,006","337,281","708,494","50,231","1,834,424","650,477","1,154,466","29,481"
Tourists,2015-06,"1,618,474","475,864","1,057,263","85,347","1,485,644","488,798","980,865","15,981"
Tourists,2015-07,"2,075,835","539,170","1,428,380","108,285","2,165,295","539,019","1,591,457","34,819"
Tourists,2015-08,"1,884,253","483,144","1,291,400","109,709","2,478,003","601,190","1,837,381","39,432"
Tourists,2015-09,"1,270,000","370,662","790,023","109,315","1,595,420","524,946","1,037,102","33,372"
Tourists,2015-10,"930,694","311,714","573,693","45,287","1,464,844","594,819","860,378","9,647"
Tourists,2015-11,"642,019","237,317","404,302",400,"1,426,837","645,347","778,878","2,612"
Tourists,2015-12,"849,528","291,141","556,918","1,469","1,263,382","599,868","662,244","1,270"
Tourists,2016-01,"536,185","204,815","331,309",61,"1,356,146","713,516","642,505",125
Tourists,2016-02,"625,767","240,007","385,653",107,"1,230,191","701,928","528,072",191
Tourists,2016-03,"768,588","283,568","484,805",215,"1,797,979","844,427","953,097",455
Tourists,2016-04,"805,860","283,665","516,974","5,221","1,608,972","751,810","848,696","8,466"
Tourists,2016-05,"1,164,428","384,089","721,229","59,110","1,691,059","638,931","1,022,952","29,176"
Tourists,2016-06,"1,684,163","553,336","1,031,985","98,842","1,375,143","501,197","858,502","15,444"
Tourists,2016-07,"2,306,960","623,185","1,557,162","126,613","2,018,513","534,403","1,452,309","31,801"
Tourists,2016-08,"1,950,223","532,549","1,311,951","105,723","2,340,211","628,672","1,677,682","33,857"
Tourists,2016-09,"1,415,326","448,043","841,580","125,703","1,636,929","554,492","1,048,814","33,623"
Tourists,2016-10,"1,011,256","355,471","593,294","62,491","1,557,322","638,771","905,945","12,606"
Tourists,2016-11,"712,032","268,855","443,049",128,"1,404,973","661,278","743,303",392
Tourists,2016-12,"911,012","334,889","576,042",81,"1,270,061","640,852","629,107",102
Tourists,2017-01,"566,679","230,181","336,428",70,"1,473,657","778,546","695,013",98
Tourists,2017-02,"619,283","230,697","388,500",86,"1,289,479","736,362","552,927",190
Tourists,2017-03,"724,864","292,143","432,587",134,"1,842,583","928,910","913,442",231
Tourists,2017-04,"880,234","316,451","558,334","5,449","1,848,622","842,062","998,221","8,339"
Tourists,2017-05,"1,150,678","393,635","705,663","51,380","1,604,122","665,645","912,758","25,719"
Tourists,2017-06,"1,810,837","603,727","1,099,522","107,588","1,463,017","604,742","843,680","14,595"
Tourists,2017-07,"2,263,643","626,159","1,520,286","117,198","2,122,836","638,128","1,457,730","26,978"
Tourists,2017-08,"2,045,974","564,322","1,367,582","114,070","2,455,017","696,547","1,727,488","30,982"
Tourists,2017-09,"1,442,100","440,421","856,478","145,201","1,732,955","643,160","1,056,887","32,908"
Tourists,2017-10,"1,059,752","386,927","600,857","71,968","1,684,432","736,398","935,110","12,924"
Tourists,2017-11,"755,753","309,961","445,682",110,"1,553,199","791,081","761,846",272
Tourists,2017-12,"921,886","346,563","575,289",34,"1,423,295","746,025","677,236",34
Tourists,2018-01,"570,637","244,821","325,762",54,"1,570,201","867,115","702,999",87
Tourists,2018-02,"643,435","251,450","391,911",74,"1,437,970","846,922","590,895",153
Tourists,2018-03,"825,963","311,481","514,304",178,"2,063,010","1,033,303","1,029,406",301
Tourists,2018-04,"773,422","283,468","479,047","10,907","1,998,703","952,279","1,040,212","6,212"
Tourists,2018-05,"1,194,635","355,413","750,295","88,927","1,796,144","770,031","998,744","27,369"
Tourists,2018-06,"1,912,850","542,253","1,192,567","178,030","1,527,987","613,024","897,959","17,004"
Tourists,2018-07,"2,240,828","600,420","1,514,010","126,398","2,165,980","648,021","1,489,349","28,610"
Tourists,2018-08,"2,168,304","555,212","1,488,713","124,379","2,458,457","731,270","1,690,951","36,236"
Tourists,2018-09,"1,363,666","432,935","802,363","128,368","1,739,771","682,449","1,024,648","32,674"
Tourists,2018-10,"1,032,192","374,370","590,731","67,091","1,654,927","797,302","846,572","11,053"
Tourists,2018-11,"770,223","301,557","468,525",141,"1,562,297","837,992","724,085",220
Tourists,2018-12,"944,198","338,496","605,672",30,"1,499,705","807,620","692,048",37
Tourists,2019-01,"580,740","249,155","331,532",53,"1,448,889","791,387","657,419",83
Tourists,2019-02,"640,476","268,639","371,775",62,"1,331,755","795,218","536,482",55
Tourists,2019-03,"797,206","326,552","470,485",169,"2,013,861","1,002,713","1,008,861","2,287"
Tourists,2019-04,"897,330","356,968","534,894","5,468","1,858,224","870,214","985,656","2,354"
Tourists,2019-05,"1,274,809","429,789","738,753","106,267","1,699,914","728,183","939,760","31,971"
Tourists,2019-06,"1,897,014","622,180","1,118,570","156,264","1,512,610","585,840","909,077","17,693"
Tourists,2019-07,"2,341,842","674,480","1,502,298","165,064","2,079,536","599,529","1,456,918","23,089"
Tourists,2019-08,"2,327,142","621,114","1,531,711","174,317","2,435,091","673,317","1,734,490","27,284"
Tourists,2019-09,"1,390,602","495,617","730,618","164,367","1,712,171","647,359","1,027,158","37,654"
Tourists,2019-10,"1,092,132","406,378","603,070","82,684","1,588,473","737,476","841,938","9,059"
Tourists,2019-11,"783,931","306,118","477,667",146,"1,502,680","801,807","698,473","2,400"
Tourists,2019-12,"981,318","377,792","603,352",174,"1,536,864","780,191","756,594",79
Tourists,2020-01,"620,731","254,354","366,335",42,"1,502,707","847,165","655,498",44
Tourists,2020-02,"699,976","268,327","431,559",90,"1,450,606","843,517","607,000",89
Tourists,2020-03,"308,399","123,497","184,827",75,"1,348,145","632,272","715,778",95
Tourists,2020-04,"9,617","1,657","7,944",16,"41,927","8,587","33,321",19
Tourists,2020-05,"16,431","2,568","13,801",62,"29,682","7,801","21,829",52
Tourists,2020-06,"32,198","6,427","25,555",216,"40,024","13,910","25,997",117
Tourists,2020-07,"40,460","9,175","31,152",133,"53,169","23,680","29,367",122
Tourists,2020-08,"44,976","11,985","32,836",155,"64,783","31,381","33,300",102
Tourists,2020-09,"36,947","10,401","26,391",155,"54,935","29,028","25,813",94
Tourists,2020-10,"36,726","11,161","25,507",58,"64,166","35,707","28,410",49
Tourists,2020-11,"34,255","12,565","21,676",14,"73,826","46,534","27,289",3
Tourists,2020-12,"48,073","19,068","29,001",4,"84,918","54,671","30,231",16
Tourists,2021-01,"26,300","9,697","16,601",2,"92,046","63,512","28,533",1
Tourists,2021-02,"19,247","5,204","14,038",5,"52,104","27,911","24,177",16
Tourists,2021-03,"24,525","3,633","20,873",19,"50,708","15,482","35,180",46
Tourists,2021-04,"26,434","4,032","22,310",92,"82,261","19,214","62,984",63
Tourists,2021-05,"35,889","4,474","30,962",453,"95,095","22,314","72,652",129
Tourists,2021-06,"45,297","6,557","38,325",415,"85,133","21,749","63,176",208
Tourists,2021-07,"108,809","34,780","73,713",316,"163,644","87,810","75,648",186
Tourists,2021-08,"374,418","86,781","285,719","1,918","264,659","163,365","101,023",271
Tourists,2021-09,"375,858","113,140","261,562","1,156","236,763","168,813","67,588",362
Tourists,2021-10,"342,138","122,792","219,097",249,"308,902","243,467","65,353",82
Tourists,2021-11,"303,209","117,729","185,434",46,"497,381","313,847","183,464",70
Tourists,2021-12,"411,289","166,732","244,511",46,"600,326","323,609","276,687",30
Tourists,2022-01,"134,594","54,828","79,627",139,"436,208","250,121","185,956",131
Tourists,2022-02,"215,840","81,941","133,628",271,"430,705","267,067","163,439",199
Tourists,2022-03,"327,625","141,500","185,491",634,"947,799","534,462","413,063",274
Tourists,2022-04,"486,165","172,181","301,691","12,293","1,247,395","595,398","646,554","5,443"
Tourists,2022-05,"701,733","259,739","403,477","38,517","1,254,125","577,537","666,060","10,528"
Tourists,2022-06,"1,147,456","470,150","643,677","33,629","1,002,156","432,020","562,434","7,702"
Tourists,2022-07,"1,483,493","528,131","907,255","48,107","1,467,348","486,947","965,754","14,647"
Tourists,2022-08,"1,309,326","440,476","808,081","60,769","1,794,400","667,699","1,109,628","17,073"
Tourists,2022-09,"1,019,812","383,633","566,527","69,652","1,412,628","702,444","696,073","14,111"
Tourists,2022-10,"844,706","303,779","481,242","59,685","1,546,044","848,122","687,768","10,154"
Tourists,2022-11,"620,013","244,937","361,435","13,641","1,472,459","923,398","545,337","3,724"
Tourists,2022-12,"801,995","305,044","482,071","14,880","1,370,912","888,649","479,060","3,203"
Tourists,2023-01,"478,041","191,209","284,800","2,032","1,670,182","1,083,839","584,804","1,539"
Tourists,2023-02,"574,324","213,117","356,215","4,992","1,476,370","1,002,158","471,625","2,587"
Tourists,2023-03,"668,044","267,445","389,972","10,627","2,093,041","1,295,857","791,947","5,237"
Tourists,2023-04,"779,099","280,161","472,558","26,380","1,924,382","1,091,554","823,265","9,563"
Tourists,2023-05,"1,055,182","383,489","625,790","45,903","1,729,542","882,418","834,791","12,333"
Tourists,2023-06,"1,627,066","618,965","967,569","40,532","1,345,406","624,602","712,187","8,617"
Tourists,2023-07,"1,954,984","657,409","1,232,480","65,095","1,981,539","678,153","1,285,576","17,810"
Tourists,2023-08,"1,734,475","545,795","1,103,427","85,253","2,201,077","747,660","1,434,014","19,403"
Tourists,2023-09,"1,272,877","453,479","733,812","85,586","1,548,703","695,142","840,073","13,488"
Tourists,2023-10,"977,929","370,049","531,961","75,919","1,652,006","835,429","806,190","10,387"
Tourists,2023-11,"713,433","277,811","422,088","13,534","1,494,839","843,517","646,528","4,794"
Tourists,2023-12,"947,494","348,846","580,070","18,578","1,397,253","789,431","604,067","3,755"
Tourists,2024-01,"505,628","216,050","288,721",857,"1,534,540","897,757","635,571","1,212"
Tourists,2024-02,"659,347","249,198","403,490","6,659","1,411,746","880,577","528,440","2,729"
Tourists,2024-03,"800,251","305,637","482,038","12,576","2,030,842","1,080,128","944,957","5,757"
Tourists,2024-04,"879,875","327,376","525,945","26,554","1,781,119","948,562","825,279","7,278"
Tourists,2024-05,"1,187,726","462,394","685,263","40,069","1,726,007","843,392","870,862","11,753"
Tourists,2024-06,"1,756,505","689,543","1,020,385","46,577","1,430,418","611,821","808,056","10,541"
Tourists,2024-07,"2,092,830","738,127","1,288,785","65,918","1,978,222","641,148","1,317,874","19,200"
Tourists,2024-08,"1,970,510","643,414","1,251,723","75,373","2,211,701","703,210","1,488,550","19,941"
Tourists,2024-09,"1,243,319","508,715","652,258","82,346","1,612,898","672,715","926,167","14,016"
Tourists,2024-10,"1,064,630","409,488","596,397","58,745","1,581,338","784,287","787,896","9,155"
Tourists,2024-11,"853,185","317,796","524,068","11,321","1,444,579","803,087","637,541","3,951"
Tourists,2024-12,"1,068,969","405,007","646,994","16,968","1,497,711","788,222","705,370","4,119"
Tourists,2025-01,"606,322","239,862","364,722","1,738","1,410,272","826,515","582,615","1,142"
